"File creation date","Household sequence number","Record type and seq indicator","State","Public Use Microdata Area","Person weight","Person's age","Person's sex","Person's marital status","Person's educational attainment","Person's race","Person is of Hispanic origin","Official poverty status","Person's medical out of pocket expenses, other than premiums (imputed)","Person's Medicare Part B premiums","Tax units created for TAXSIM","Adjusted gross income","SPM unit's ID","SPM unit's number of persons","SPM unit's number of adults","SPM unit's number of chidren","SPM unit's has cohabiting couple","SPM unit has a UI under 15 years old","SPM unit's equivalence scale","SPM unit's tenure/mortgage status","SPM unit's geographic adjustment","SPM poverty status","SPM unit's threshold","Total SPM resources for SPM unit","SPM unit's cash income","SPM unit's SNAP subsidy","SPM unit's capped housing subsidy","SPM unit's school lunch","SPM unit's energy subsidy","SPM unit's WIC value","SPM unit's federal tax","SPM unit's federal tax before refundable tax credits","SPM unit's federal EITC","SPM unit's FICA and federal retirement","SPM unit's state tax","SPM unit's capped work and child care expenses","SPM unit's work expenses - not capped","SPM unit's child care expenses - not capped","SPM unit's Medical Out-Of-Pocket and Medicare B subsidy","SPM unit's Health insurance premiums (imputed)"
"20211015","1488553","3","24","2401003","49","3","2","5","0","1","0","0","0","0","14885530000000","53000","1488553001","4","2","2","0","0","1","1","1.266616000000003","0","32658.42694400008","42401.77384831461","53000","0","0","0","0","0","1015","3015","0","2995","1667","1684.1475","1684.1475","0","3237.078651685393","0"
"20211015","1488553","4","24","2401003","48","2","2","5","0","1","0","0","0","0","14885530000000","53000","1488553001","4","2","2","0","0","1","1","1.266616000000003","0","32658.42694400008","42401.77384831461","53000","0","0","0","0","0","1015","3015","0","2995","1667","1684.1475","1684.1475","0","3237.078651685393","0"
"20211015","1488555","1","41","4101318","120","51","2","3","3","1","0","0","1790.7303370786517","0","14885550000000","92000","1488555001","2","2","0","0","0","0.6534829100484774","1","1.0120960000000032","0","17053.21373564413","72189.77844071259","112200","0","0","0","0","0","16492.3499","16492.3499","0","6340","7109.30018","3368.295","3368.295","0","6700.276479287426","4799.546142208775"
"20211015","1488555","2","41","4101318","104","21","1","5","0","1","0","0","110","0","14885550000012","20200","1488555001","2","2","0","0","0","0.6534829100484774","1","1.0120960000000032","0","17053.21373564413","72189.77844071259","112200","0","0","0","0","0","16492.3499","16492.3499","0","6340","7109.30018","3368.295","3368.295","0","6700.276479287426","4799.546142208775"
"20211015","1488556","1","36","3600100","19","69","1","1","2","1","0","0","316.011235955056","1198.8000000000002","14885560000000","9500","1488556001","2","2","0","0","0","0.6534829100484774","2","0.914775999999994","0","12792.716325981542","23411.90585935508","32900","0","0","0","0","0","0","0","0","0","0","0","0","0","9488.09414064492","4440"
"20211015","1488556","2","36","3600100","15","59","2","1","2","1","0","0","3533.2829046898637","0","14885559730176","0","1488556001","2","2","0","0","0","0.6534829100484774","2","0.914775999999994","0","12792.716325981542","23411.90585935508","32900","0","0","0","0","0","0","0","0","0","0","0","0","0","9488.09414064492","4440"
"20211015","1488557","1","48","4803602","88","75","2","2","2","1","0","0","1520","1198.8000000000002","14885570000000","48180","1488557001","1","1","0","0","0","0.46346305677196975","2","0.9634180000000022","0","9555.285136303566","42106.2","50100","0","0","0","0","0","5275","5275","0","0","0","0","0","0","2718.8","0"
"20211015","1488558","1","34","3401302","84","56","2","4","3","2","0","0","3181.1797752808993","0","14885580000000","35000","1488558001","3","3","0","0","0","1","3","1.224909999999996","0","30751.365549999897","39372.58352079756","63000","0","0","0","0","0","5655","5655","0","3560","927.5","3368.295","3368.295","0","10116.621479202435","6035.441703921535"
"20211015","1488558","2","34","3401302","120","29","1","5","4","2","0","0","600","0","14885580000012","28000","1488558001","3","3","0","0","0","1","3","1.224909999999996","0","30751.365549999897","39372.58352079756","63000","0","0","0","0","0","5655","5655","0","3560","927.5","3368.295","3368.295","0","10116.621479202435","6035.441703921535"
"20211015","1488558","3","34","3401302","125","24","1","5","0","2","0","0","300","0","14885580000013","0","1488558001","3","3","0","0","0","1","3","1.224909999999996","0","30751.365549999897","39372.58352079756","63000","0","0","0","0","0","5655","5655","0","3560","927.5","3368.295","3368.295","0","10116.621479202435","6035.441703921535"
"20211015","1488560","1","6","607306","113","35","2","1","4","1","0","0","20.423600605143747","0","14885600000000","150100","1488560001","3","2","1","0","0","0.8801833070327151","3","1.2420600000000044","0","27445.80220855142","97494.86207195092","150100","0","0","0","0","0","23728.4","23760","0","8475","7922.3198","11426.581516853934","3368.295","8058.286516853933","1052.8366111951589","0"
"20211015","1488560","2","6","607306","90","44","1","1","4","1","0","0","1032.4130105900151","0","14885599576064","0","1488560001","3","2","1","0","0","0.8801833070327151","3","1.2420600000000044","0","27445.80220855142","97494.86207195092","150100","0","0","0","0","0","23728.4","23760","0","8475","7922.3198","11426.581516853934","3368.295","8058.286516853933","1052.8366111951589","0"
"20211015","1488560","3","6","607306","114","6","2","5","0","1","0","0","0","0","14885600000000","150100","1488560001","3","2","1","0","0","0.8801833070327151","3","1.2420600000000044","0","27445.80220855142","97494.86207195092","150100","0","0","0","0","0","23728.4","23760","0","8475","7922.3198","11426.581516853934","3368.295","8058.286516853933","1052.8366111951589","0"
"20211015","1488561","1","39","3904104","169","33","1","1","3","1","0","0","1200","0","14885610000000","138000","1488561001","3","2","1","0","0","0.8801833070327151","1","0.9586719999999975","0","21756.722042586236","97719.34928202248","138000","0","0","0","0","0","20735","20735","0","9787","5032.3501","3368.295","3368.295","0","1358.005617977528","52.668539325842744"
